X,Y,OBJECTID,FACILITY_ID,APN,NAME,OWNER
-121.456089449,38.491540424,1,300-155-D20,050-0031-019,D-20 A PARKWAY,Sacramento County
-121.457683097,38.4913319460001,2,300-155-D45,049-0390-073,D-45 FRANKLIN & MORRISON,Sacramento County
-121.42163721,38.489666863,3,300-164-D25,051-0362-009,D-25 SOUTH LINDALE,Sacramento County
-121.451408657,38.497635884,4,302-155-D30,042-0141-010,D-30 SOUTHGATE COMMERCIAL,Sacramento County
-121.447250409,38.49777894,5,302-158-D16,042-0132-009,D-16 URANUS PARKWAY,Sacramento County
-121.455804634,38.504547361,6,304-155-D42,039-0283-020,D-42 BOWLING GREEN,Sacramento County
-121.441721984,38.503178957,7,304-158-D23,039-0189-002,D-23 53rd & STEINER,Sacramento County
-121.448754031,38.5031453330001,8,304-158-D27,039-0265-010,D-27 PARKWAY #18,Sacramento County
-121.419509906,38.5031380090001,9,304-164-D24,043-0152-001,D-24 NORTH LINDALE,Sacramento County
-121.443961472,38.5120452830001,13,308-158-D33,037-0231-006,D-33 EL PARAISO,Sacramento County
-121.351602614,38.558650938,14,324-185-D09,068-0290-047,D-09 MAYHEW,Sacramento County
-121.3533098,38.570793553,16,328-185-D06,075-0010-022,D-06 NORTH MAYHEW,Sacramento County
-121.444877105,38.4843304940001,17,298-158-D21,050-0241-016,D-21 CENTER PARKWAY,Sacramento County
-121.320327311,38.4554396780001,22,288-194-D22,122-0120-038,D-22 SILVER LEGENDS,Sacramento County
-121.372720925,38.566395076,23,328-179-D10,075-0010-002,D-10 MANLOVE,Sacramento County
-121.472703101,38.722180753,25,384-149-D34,202-0030-025,D-34 RANCHO ELVERTA,Sacramento County
-121.493318479,38.6490735460001,28,358-143-D47,225-0941-036,D-47 NORTHGATE INDUSTRIAL,Sacramento County
-121.345113896,38.5811447770001,30,332-185-D01,292-0500-016,D-01 HAGGINBOTTOM,Sacramento County
-121.390731768,38.566434218,31,328-173-D02,293-0312-010,D-02 KADEMA,Sacramento County
-121.361997831,38.644265567,33,356-182-D03,240-0251-001,D-03 EVERGREEN ESTATES,Sacramento County
-121.364986978,38.641850117,34,354-179-D12,240-0240-018,D-12 WINDING WAY,Sacramento County
-121.56040946,38.6738458840001,35,366-125-D49,201-1020-070,D-49 METRO AIR PARK,Sacramento County
